country,description,designation,price,province,region,name,winery
Spain,"Lime and mineral aromas drive the nose on this fairly full-bodied brut nature from a warm vintage. On the palate, this is balanced, with bubbles absorbed into the wine's fabric. Up-front salty notes are backed by briny apple, nectarine and yeasty flavors, while this is sophisticated and fairly complex on the finish.",Privat Opus Evolutium Gran Reserva Brut Nature,46,Central Italy,Venezie,Pinot Grigio,Alta Alella
France,Organically grown grapes from one of the top Provence estates have produced this light grey-pink colored wine. It is a delicious fruity confection of bright red berries and tangy acidity. There is an attractive touch of minerality to give the wine structure. Drink now.,Le Pas du Moine,24,California,Trentino,Red Blend,Château Gassier
France,"This is a ripe beautifully balanced wine. It has the extra richness and density that comes from a vine produced in the close to Monte Sainte-Victoire. Full of raspberry and orange fruits, the wine has a final tangy herbal edge. Drink now.",Terre Promise,20,Other,Russian River Valley,Marsanne-Roussanne,Château Henri Bonnaud
US,"This wine wears its high alcohol well, appearing light in the glass and delivering loads of chaparral spice, sandalwood, beet, rhubarb and earthy dust scents on the nose. Although light in body, the palate boasts an underlying juiciness, packed with cranberry, thyme and pencil shaving flavors.",Sharen's Vineyard,48,Victoria,North Coast,Rhône-style Red Blend,Cottonwood Canyon
US,"Though light in color and body, this wine carries tremendous aromas and flavors, thanks in part to its 5% cofermented Viognier. The nose shows charred beef, crushed elderberry and potpourri scents, while the palate shows tart red currant and cranberry fruit, with smoked beef, white, pepper, rosemary and fennel accents.",North Slope,43,Victoria,Bourgogne Hautes Côtes de Beaune,Pinot Noir,Demetria
US,"Unconventional but outstanding, this wine is an earthy throwback to an earlier era, from its light, brownish color to its dried leaf, rhubarb and wet earth aromas to its lean but complex red cherry, rhubarb and cranberry flavors. Wild yeast and wild bacteria were used for the primary and malolactic fermentations, respectively.",Clone 05 Charles Vineyard,52,Victoria,Finger Lakes,Meritage,Foursight
US,"This wine is 45% Cabernet Sauvignon, 30% Cabernet Franc, 20% Merlot and 5% Petit Verdot. The aromas are almost completely shut down at present, with just hints of barrel spice, herb and dark fruit. The fruit flavors are similarly locked up, backed by lightly grainy tannins. There are good things going on but it needs time to reveal itself. Best after 2022.",Seven Hills Vineyard Estate Vineyards,60,Tejo,Columbia Valley (WA),Cabernet Sauvignon-Malbec,Pepper Bridge
US,"The winery produces two outstanding Pinots from estate vineyards planted in 1972. This is big and chewy (as the potent alcohol might suggest) and aging in 50% new French oak puts flavors of toasted coconut and caramel around smooth supple cherry fruit. There's a finishing hint of eucalyptus; all in all, it's a terrific value and a truly original take on Pinot Noir.",Elkton Vineyard,28,Requinoa,Sannio,Piedirosso,River's Edge
Austria,"Ripe yellow plum pervades the nose of this wine. The palate brings more Grüner Veltliner savoriness, with hints of yeast and herb. Light in body and dry in mouthfeel, it refreshes with a lovely herbal citrus tang on the finish.",Wieden,23,California,Ancient Lakes,Viognier,Salomon-Undhof
US,Aromas suggest green apple and melon. This wine drinks dry with a lightly spritzy feel but the flavor concentration seems lacking.,The Reserve,22,Southern Italy,Seneca Lake,Sparkling Blend,14 Hands
US,"This is packed with herbal character, from the aroma through the flavors and the finish. It smells like fresh-cut grass, tastes like snap peas and scallions, and has a bright, almost sharp, citrusy tartness.",Fox Hill Vineyard,25,Loncomilla Valley,Costa Toscana,Cabernet Franc,Vía
Spain,"Yeasty, bready aromas lack the citric kick and minerality that top Rueda whites deliver in spades. The palate is dilute but slightly creamy, while yeasty flavors are low on fruit and finish with a note of gardenia flower.",Quintaluna,20,Tejo,Mendoza,Sémillon,Ossian
Spain,"This opens with scratchy, slightly dirty aromas of blueberry and blackberry. The palate is heavy and jammy, but also somewhat raw and abrasive. Cherry and plum flavors are basic, while an inoffensive finish falls off quickly.",Latria,18,Portuguese Table Wine,Emilia,Lambrusco,Malondro
Argentina,"Initially this smells earthy and rubbery, but with airing it shows roasted dark-berry aromas mixed with horsey leather. The palate is full, tannic and scratchy, with black-fruit flavors, pepper, toast and herbal notes. Toast and coffee flavors are found on a hard, tannic finish. Tasted twice with mixed results.",Reserve,15,France Other,Toscana,Rosato,Caligiore
Spain,"Chunky, raisiny aromas are heavy. In the mouth, this is big, high on acid and a bit shaky in terms of overall balance. Medicinal cherry and plum flavors finish raisiny and plump, with a shot of tomato thrown in.",Reserva,16,France Other,Emilia,Sparkling Blend,Conde de Jauregui
Italy,"Concentrated but one-dimensional, this features aromas of stewed fruit, fig, almond, nail polish and coconut, all of which follow through to the warm, monolithic palate. It's already extremely evolved, and lacks vibrancy and complexity.",,120,Southern Italy,Mendoza,Malbec-Syrah,Casa Raia
US,"The reductive scent of rubber meets with deep blackberry on the nose. The palate proves more interesting, with mocha and espresso notes laid over blackberry fruit, all framed in strong tannins.",Family Reserve,35,Languedoc-Roussillon,Oltrepò Pavese,Pinot Nero,Joullian
US,"This wine from a vineyard 25 miles east of the Monterey Bay shows a slightly reductive character on the nose, with burnt rubber alongside cherry and mint. The palate shows cranberry and pomegranate fruits, with lots of leathery tannins.",Estate,20,South Australia,Valpolicella Ripasso Classico,Red Blend,Pietra Santa
US,"The aromas don't seem entirely settled, with notes of char, tire rubber, bacon fat and vanilla accents. The fruit flavors are smoky and sweet, with a slightly astringent feel.",Estate Grown,17,California,Crémant de Bourgogne,Champagne Blend,Sawtooth
US,"Juicy red cherry and raspberry flavors are layered with toast, cinnamon, vanilla and spice in this ornate yet approachable wine. It's sunny and plush on the midpalate, but grippy tannins mark a tight, brisk finish.",,22,California,Knights Valley,Merlot,Serenity
US,"There's a ruddy ripeness to red raspberry and cherry flavors in this delicately framed Merlot. It's crisp with acidity and enticingly spiced, but finishes abruptly.",,28,Central Italy,Wahluke Slope,Chardonnay,Serenity
US,"This offering conveys blueberry, herbs, olive and tire rubber. The flavors are lighter in style, with just a hint of sweetness, trailing toward the finish. This would make an excellent and crowd-pleasing by-the-glass selection.",,15,Central Italy,Sonoma County-Napa County,Chardonnay,Sharecropper's
US,"Aromatically expressive, this conveys cranberry and milk chocolate. It's full of fruit and barrel flavors with a lightly creamy feel.",,8,Southern Italy,Valpolicella Superiore,Red Blend,Snoqualmie
US,"This 100% varietal brings a fruit-forward profile of candied red currants, cranberry and spice. It has fresh, medium-bodied flavors, with the concentration a bit wanting.",,12,Central Italy,Washington,Rhône-style White Blend,Ste. Chapelle
Argentina,"Mango, papaya and vanilla aromas are lightly tropical and chunky. The palate is plump and fair. Flavors of green melon, papaya and mixed tropical fruits finish steady and with a reprise of leesy, yeasty vanilla.",Cool Climate Selection,14,Colchagua Valley,Champagne,Petit Meslier,Argento
Spain,"Dusty, scratchy, spicy red-fruit aromas register as feral. This is wiry and medicinal in feel, with spicy black-plum flavors that are brash and oaky. Peppery spice dominates an otherwise hollow finish.",Macho Man,17,California,Chianti Colli Pisani,Sangiovese,Casa Rojo
US,"Half fermented in oak with the rest in stainless steel, this wine offers lees, butter and vanilla, with a dry, medium-bodied feel.",,16,California,Vin de Pays du Comté Tolosan,Rosé,Vale
US,"This unusual blend made from Verdelho, Pinot Gris and Pinot Blanc grapes is dry, reasonably fruity and smooth in texture. It starts with canteloupe aromas, goes to golden apple flavors and leaves an earthy touch of walnut on the finish.",Verdigris,30,Languedoc-Roussillon,Pouilly-Loché,Chardonnay,Las Positas
France,"This is a dark and probably too-tannic wine. A very dry, extracted character gives bitterness more than fruit. It's still young and has the Saint-Estèphe tannins in abundance, although its future with this dryness is uncertain.",,30,Oregon,Ancient Lakes,Albariño,Château Tour des Termes
Argentina,"Mint and graphite aromas make for a cool nose on this 50/50 Malbec-Cabernet Sauvignon. Rubbery tannins mixed with extracted berry flavors create more noise than poise on the palate. A spicy, herbal, chocolaty finish is punchy and borderline punishing.",Special Blend Reserva,22,Washington,Sonoma County-Napa County,Sparkling Blend,Cinco Sentidos
US,"Given the diverse clonal make-up of the vines that go in to this Pinot, the aromas are somewhat muted and shy. Earthy, spicy fruit flavors are characterized by baked red raspberry and strawberry notes, with the wine taking on a denseness on the palate and finish.",Estate Grace Benoist Ranch,43,Oregon,Italy,Moscato,Etude
France,"Packed with fruit, this is a fine, simple Bordeaux. Red fruits leap out of the glass, allied to light tannins. They make for a wine that's ready to drink young and fresh.",,15,Languedoc-Roussillon,Prosecco Treviso,Glera,Grand Bateau
US,"Varietal notes of potting soil, flowers and dark cherry partner with licorice and pickling spices. The fruit flavors seem sweet, almost as if carrying some residual sugar, with some mesquite flavors that distract.",,45,Languedoc-Roussillon,Yakima Valley,White Blend,Stina's
US,"While lemony-fresh with a streak of crushed-stone minerality, this medium-bodied white lacks the exuberance and spice expected of Gewürztraminer. It's refreshing and pleasing nonetheless, with a spray of lingering white blossom perfume on the finish.",Doyle Vineyard,22,California,Russian River Valley,Pinot Meunier,Swedish Hill
US,"This wine suggests green, savory herbs along with cherry and currant. It's elegant in style, velvety in feel, and delivers good concentration to the fruit flavors plus barrel notes (20% new French) on the lingering finish. The variety gets lost with the herbal notes taking over, but it still offers enjoyment.",Sonas,25,California,Mokelumne River,Merlot,OS Winery
France,"Firm, dry tannins behind this wine give a hard edge that will need time. The wine is powered by its structure, solid and only just fruity. Wait until at least 2017 to allow more fruitiness to come through, although the wine will likely always be tough.",Château la Rose Bourdieu,12,Southern Italy,Napa County-Sonoma County,Pinot Noir,Producta Vignobles
Argentina,"Berry and cassis aromas turn more saucy with airing. This has a sticky mouthfeel with protruding acids, while flavors of plum and citrus finish short. This is good if you're looking for the basics.",Reserve,13,Washington,Valpolicella Ripasso,Red Blend,Restivo
US,"Whiffs of clay and fallen leaves lend an earthy tone to this ripe, rich wine. The palate is lush, almost pulpy, with black cherry and plum flavors but brisk acidity and grippy tannins finish taut and tight.",,20,Languedoc-Roussillon,Salento,Rosato,Rooster Hill
France,"This is a simple, fruity wine without great tannic structure. It has attractive berry fruits and a dry core. With its fresh acidity, it will be ready to drink soon.",,25,California,Murgia,Uva di Troia,Château Aney
US,"This is solidly varietal, with a sleek mix of pear flesh and skin. Some tension created between the phenolic bite and tart acidity carries through into the finish. It suggests that a proper match, with a relatively oily fish perhaps, will bring out its best.",Signature Collection,18,Southern Italy,California,Refosco,King Estate
France,"Dominated by the local Duras grape, this spicy and fruity wine has an intriguing blend of juicy acidity and leathery tannins. It gives a wine that could benefit from aging while also being ready to drink now. Give it the benefit of the doubt and wait until 2016.",Les Gourmands,16,Oregon,Montello e Colli Asolani,Red Blend,L'Enclos des Braves
Spain,"Apple and pear aromas provide a smooth entry to a round, slightly creamy palate. Grapefruit, green-herb, pear and apple flavors lean toward sweet and ripe, while the finish holds onto just enough acidic zest.",,12,Southern Italy,Lodi,Moscato,Los Navales de Martúe
US,"Very deep black plum, smashed red berries, concentrated cola and coffee liqueur aromas entice the nose on this blend of 40% Cabernet Franc, 40% Zinfandel and 20% Grenache. It's very spicy and lively on the palate with an almost biting, explosive acidity. Flavors of espresso and deep red fruits are noticeable.",Aeolus Estate,50,California,Venezie,Cabernet,Gershon Bachus
US,"This has a rather deep red color and a slightly smoky rim. It offers profuse aromas of black cherry and blackberry, medium to full body and a generous texture. It's enjoyable for the fruit flavor, and easy to drink due to the soft texture. The finish is lingering and almost sweet.",Estate Bottled,30,California,Wahluke Slope,Rhône-style Red Blend,Greenwood Ridge
US,"You'll taste the 40% new French oak right away, followed by crisp, botanical flavors of lime rind and green apple. It's not a fleshy Chardonnay, instead it's the mineral and botanical flavors that stand out.",Vineyard Select,18,Victoria,Horse Heaven Hills,Pinot Grigio,Gresser
US,"Made from Cabernet Sauvignon, Merlot and Petit Verdot, this rosé has a weightiness. It's juicy, bold and dry, with a hue of freshly cut watermelon that follows on the palate, alongside dried cranberry and currant.",,20,Washington,Ladoix,Chardonnay,Des Amis
Italy,"Here's a blend of 25% Sangiovese, 25% Cabernet Sauvignon, 25% Merlot and 25% Syrah that opens with aromas of red currant, bell pepper and roasted coffee beans. The medium-bodied, one-dimensional palate offers dried black cherry, black pepper, espresso and a gamy note alongside moderate tannins. Drink through 2016.",D'Vino,17,South Australia,Monticello,Johannisberg Riesling,Diadema
France,"From the tiny vineyard area of Marcillac in the French mountains on the eastern edge of the southwest region, this tight, fruity wine is a breath of fresh air. It is packed with berry fruits as well as tannins showing that it will age. Red fruits burst out at the end. Marcillac's claim to fame is Fer Servidou, the grape that is not related to Cabernet Sauvignon but has similar aroma and taste traits.",Lo Sang del Païs,16,South Australia,Valencia,Cabernet Sauvignon,Domaine du Cros
France,"This wine combines the best of Chenin Blanc, with its nutty, terroir-driven character, and the round ripeness of Chardonnay. It is fruity and fresh with a smooth texture that is lifted by final acidity.",,13,Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel,Rhône-style Red Blend,Domaine du Tariquet
US,"Forward and chunky, the fruit has the lightness and freshness of black cherry soda. It's smooth and fresh, though somewhat insubstantial, with a creamy finish and a lick of coffee as it fades.",,24,Southern Italy,Shenandoah Valley (CA),Petite Sirah,Et Fille
Italy,"Subdued aromas of black currant, chocolate and a whiff cedar lead the nose of this blend of 30% Cabernet Sauvignon, 30% Cabernet Franc, 30% Merlot and 10% Petit Verdot. On the palate, notes of grilled bell pepper, soy sauce and game accent a core of dried black cherry. It's simple and a bit rustic, with dusty, drying tannins.",,30,Languedoc-Roussillon,Alsace,Sparkling Blend,Fattoria di Travalda
US,"There's quite a bit of green on this nose of this blend of 63% Merlot, 24% Cabernet Franc, 10% Cabernet Sauvingnon, 2% Malbec and 1% Petit Verdot, with grilled jalapeño most prevalent. The palate is not very dense though proves dynamic, showing red cherries and elderberries laced with green peppercorns.",Borific,48,California,Buzet,Red Blend,Jamie Slone Wines
Italy,"This 100% Syrah offers aromas of mature black currant, charred earth and a whiff of cedar. The palate delivers dried black cherries, clove, ground pepper and powdered sage alongside raspy tannins that leave a drying, astringent finish.",Marchesale,70,California,Cienega Valley,Zinfandel,Terre del Marchesato
US,"This is a forward, rather light, chocolaty wine. The berry fruit flavors are swathed in chocolate, and a suggestion of citrus keeps a frame around it.",,32,Oregon,Mitterberg,Gewürztraminer,Van Duzer
US,"A vivid gold color and spice-rack aromas like nutmeg and cardamom add a different twist to this medium-bodied and rather rich-textured wine. Those are probably characteristics from aging with oak, and they enhance the clean, fresh fruit flavors in a good way.",Winemaker's,11,Oregon,Hudson River Region,Cabernet Franc,Table No. 7
Italy,"Aromas of bell pepper, red currant and vanilla come together in the glass along with a gamy note. The dense palate delivers dried black cherries, toasted oak, tobacco and licorice. Tightly wound, astringent tannins dry out the finish.",I Campacci,25,Washington,Paso Robles,Roussanne,Tenuta di Trecciano
Italy,"Aromas of pencil shavings, black currant and cedar lead the nose of this blend of Cabernet Sauvignon and Merlot. The ripe, forward palate delivers dried cherries, green bell pepper and clove alongside assertive, grippy tannins. Drink soon to capture the remaining fruit richness.",Lippo,28,Peumo,Temecula Valley,Cabernet Sauvignon,Pieve Santo Stefano
Italy,"Made with 85% Merlot blended with varying amounts of Petit Verdot, Sangiovese and Cabernet Sauvignon, this opens with aromas of truffle, underbrush, baked plum and dark cooking spice. The palate delivers licorice, roasted coffee bean and blueberry extract alongside astringent tannins that dry out the palate. While the tannins are still aggressive, the fruit richness is starting to dry out.",Fuochi,40,British Columbia,Santa Ynez Valley,Lagrein,Poggioventoso
Italy,"Made entirely with Sangiovese, this fresh wine opens with aromas of black cherry and freshly ground pepper that carry over to the palate along with notes of black raspberry and a hint of orange rind. Racy acidity and supple tannins provide the framework. It's easy-drinking, so enjoy soon.",Locorosso,15,Maule Valley,Snipes Mountain,Graciano,Pratesi
US,"Milk chocolate and dark plum combine to nice effect in this majority-Merlot, blended with almost 25% Cabernet Sauvignon. Dry, savory and spicy in cinnamon and clove, the wine is substantially dense and thick on the palate.",Mat Kearney,22,Washington,Dry Creek Valley,Muscat Blanc,Verse & Chorus
Spain,"Zesty cherry aromas are offset by powdery softness and floral hints. This feels solid and correct, with bright acidity. Flavors of red-apple skins and citrus fruits finish direct and clean.",,12,California,Suisun Valley,Red Blend,Viña Eguía
US,"Firm, well-modulated and medium-bodied, this estate-grown wine brings a mix of apple flesh and skin, along with a strong scent of biscuit. and hint of vanilla. Overall it's staunchly varietal, though not especially complex.",Estate,30,California,,Grenache,Willamette Valley Vineyards
US,"Spicy cranberry/raspberry fruit is at the heart of this bright, quaffable and value-priced wine. There's a light dusting of pepper also, but it's the fresh fruit that stands out.",,17,Southern Italy,Columbia Valley (WA),Cabernet Sauvignon-Sangiovese,Rainstorm
Chile,"Lime and passion fruit aromas are subtle and appealing. This delivers a fresh, alert palate and crisp, lightly brined flavors of lettuce, apple and cucumber. On the finish, it runs peppery but not overly aggressive.",Reserve,10,Oregon,Maremma,Petit Verdot,Santa Alba
Chile,"Woody aromas of sawdust and maple take over a lightly herbal bouquet. Plum, raspberry and chocolaty oak flavors finish herbal and resiny.",Zardoz,25,Southern Italy,Corton-Bressandes,Pinot Noir,Indomita
Germany,"Muskateller is a powerhouse Muscat grape, chock full of buoyant stone fruit, melon and floral aromas. It's an unabashedly fruity, flamboyantly forward grape, but this off-dry example is brisk and balanced.",Halbtrocken,26,Victoria,Santa Barbara County,Grüner Veltliner,Grafen Neipperg
France,"This is a bargain-priced blend of Grenache, Syrah, Carignan, Mourvèdre and Cinsault. The flavors are ripe and plummy, accented by hints of garrigue, while the tannins are modest and supple.",Cinq Cépages,13,Washington,Shenandoah Valley (CA),Marsanne-Roussanne,Laudun Chusclan
France,"The varieties in the blend include Grenache Blanc, Roussanne and Viognier. They come together to offer hints of pineapple, pear and citrus. There's a silky texture on the palate, then a clean, crisp finish.",Luna,16,California,Vin de France,Rosé,Laudun Chusclan
Germany,"Plush, ripe apple and apricots are dusted in savory, earthy notes of slate and spice. It's a dancing, delicately framed wine with a balance of soft, sweet fruit and zesty acidity. Drink now.",Piesporter Goldtröpfchen Spätlese,17,South Australia,Walla Walla Valley (WA),Pinot Noir,Leonard Kreusch
US,"So easy to enjoy, this mild-tasting but full-bodied wine is fruity in flavor and soft in texture. It has an earthy, savory aroma, generous plum and berry flavors, a mineral influence, light tannins and a lingering finish.",Rous Vineyard Reserve Ancient Vines,30,Oregon,San Francisco Bay,Zinfandel,Ironstone
US,"Subtle honeysuckle, orange and apricot aromas lead to nicely tangy fruit flavors, medium body and good crisp acidity. This is a well-balanced, vibrant and refreshing wine.",Proprietor Grown,24,Washington,California,Barbera,Kendric Vineyards
US,"Woody in aroma, this is an exceptionally light-bodied, floral and herbal white, marked most by its high-pitched acidity that threatens to veer into extreme territory. Instead, beeswax and white peach figure into the mix, finishing in a refreshing twist of lemon.",Kobler Family Vineyards,36,Curicó Valley,Potter Valley,Sparkling Blend,Kobler
US,"This densely flavored and full-bodied wine has a very deep, dark color and aromas that suggest oak barrels, nutmeg and cardamom. The palate shows tension between firm tannins and acidity, and carries ripe blackberries, with spicy accents. Drink now through 2020.",Single Vineyard,40,California,Horse Heaven Hills,Cinsault,Lake and Vine Cellars
France,"With a dominance of Pinot Meunier in the blend, this soft, attractive wine offers apples and crisp citrus, with a light, lively texture. The wine, with its fresh aftertaste, is refreshing and bright.",Brut 204,32,Southwest France,Mâcon Chaintré,Chardonnay,Lété-Vautrain
US,"This is certified organic, from one of Oregon's leading vineyards. Somewhat muted in this cool, wet vintage, it's nonetheless a sturdy effort with a potent herbal component. The stiff red fruits conjure up a tart cranberry and cherry mix.",Temperance Hill Vineyard,45,Central Italy,Columbia Gorge (WA),Cabernet Sauvignon,Lumos
Israel,"This wine offers a bouquet of raspberry and smoked meat with a touch of bell pepper. Flavors of black cherry, smoked meat, black pepper and eucalyptus mingle on the palate, with savory notes outweighing fruit. Soft tannins coat the mouth, and ultimately black cherry lingers on the back palate.",French Blend,28,California,Taburno,Piedirosso,Or Haganuz
Israel,"Deep ruby in the glass, this wine has a bouquet of black currant, flint and bell pepper. A restrained tannic structure supports flavors of blackberry, damson plum, elderberry, violet and espresso with an added touch of bramble. The finish is marked by a note of fresh summer plum.",Edom,40,Colares,Veneto,Pinot Grigio,Psagot
Argentina,"Boysenberry and exotic notes of all-spice and cardamom set this Malbec apart from the field. In the mouth, this is typically angular, with sharp acidity and not much cushion. A one-note, linear flavor of rooty plum is neither fruity nor dry, while the finish fails to rise or fall; it just hums along on a singular beam of acid. Drink from 2018–2030.",Apartado Gran,100,Languedoc-Roussillon,,Sangiovese-Cabernet Sauvignon,Rutini
France,"A crisp and dry Vouvray, this still has those telltale honey flavors of delicious Chenin. It is rich and dense while also having great acidity and a tight, taut texture that will soften as the wine ages. It can be drunk now for its freshness, but it will be better from 2017.",,20,Languedoc-Roussillon,Virginia,Riesling,Clos du Gaimont
Italy,"Mature berry, dark cooking spice and blue flower are some of the aromas that emerge on this firm red. On the palate, ground pepper, clove and licorice accent a black cherry core while brisk acidity provides the racy framework.",Aves,30,Oregon,Happy Canyon of Santa Barbara,Rosé,Comm. G. B. Burlotto
US,"Leather, pencil shavings and cedar provide an edge to this wine. It's otherwise soft and approachable in a mix of blackberry and black cherry, a seasoning of cinnamon and clove providing a pleasant hit of spice on the finish.",,50,Duriense,Colli Bolognesi,Pignoletto,Crossbarn Paul Hobbs
Italy,"Aromas of wild berry, menthol, baking spice and a balsamic note lead the nose. On the tightly wound palate, bracing tannins support raw cherry, anise, tobacco and a hint of coffee alongside firm acidity.",Fossati,50,Veneto,Val di Cornia Suvereto,Merlot,Dosio
Germany,"Hints of bramble and earth lend savory nuances to sunny yellow peach and melon flavors in this bright vivaciously crisp Kabinett. Off-dry in style, it's balanced by a stream of focused tangerine acidity leading from midpalate through a moderately long finish. Start drinking now.",Bernkasteler alte Badstube am Doctorberg Kabinett,28,Ribatejo,,Rkatsiteli,Dr. Heidemanns-Bergweiler
US,"Concentrated rose petals, hibiscus and purple fruits meld with lava-rock aromas, all boosted by a touch of cola and smoke. Tart plum skins and Montgomery cherries play into the complex palate, which also shows turned earth and beef-jerky flavors.",,45,California,Tupungato,Cabernet Franc,Feliz Noche
US,"This is 100% varietal, and sports interesting aromas of Provençal herbs. Peppery cranberry fruit is spicy and tart, fading through the midpalate into a lean, but lingering finish.",Estate,35,Aconcagua Valley,Vin de Pays des Côtes Catalanes,Rhône-style Red Blend,Folin Cellars
Germany,"Smoke and earth lend a savory tone to fresh apple and lemon aromas on this dry, intensely concentrated Riesling. It's bold and weighty on the palate, but energized by a strike of lemon-lime acidity and soft white peach tones that linger on the finish.",Johannisberg Wallhausen Trocken GG,68,Rhône Valley,Santa Clara Valley,Zinfandel,Prinz Salm
US,"Dark and brooding in savory mushroom yumminess, Paul Hobbs' more affordable Pinot Noir offers dark cherry and spice in good proportion. Concentrated, lush and perfumed it'll accompany a range of foods enjoyably.",,35,California,Cienega Valley,Cabernet Pfeffer,Crossbarn by Paul Hobbs
Italy,"This full-bodied white leads with delicate aromas of lychee, Spanish broom and golden apples. The juicy, round palate delivers pear, apple and hints of baking spice brightened by fresh acidity that gives a clean, persistent finish.",Vial,25,Oregon,Falerno del Massico,Aglianico,Kellerei Kaltern Caldaro
Italy,"A supple, medium-bodied white, it conveys aromas of stone fruit, pine apple and banana. The juicy, round palate offers sweet peach, green apple, zesty citrus and a mineral note alongside crisp acidity.",,19,Southern Italy,Wahluke Slope,Zinfandel,Ottella
Italy,"This savory wine opens with concentrated aromas of exotic fruit and green apples. The bright, juicy palate offers yellow peach, lemon zest and cantaloupe as well as crisp acidity. It closes on a note of bitter almond.",Terecrea,18,Central Italy,Ancient Lakes,Sauvignon Blanc,Pilandro
Germany,"A delicate dusting mineral accents notes of pressed apples, wildflowers and peach on this dry but intensely fruity Riesling. Tart tangerine and pineapple flavors add a vivacious tartness that lingers long on the finish.",Vom Binger Bergrücken Ortswein Trocken,40,Languedoc-Roussillon,Alta Valle della Greve,Sangiovese,Prinz Salm
US,"Young and snappy with crisp green apple fruit flavors, this racy and nicely textured Pinot Gris shows excellent balance, concentration and length. Delicious now and should improve through 2017.",,16,Languedoc-Roussillon,,Nebbiolo,Sweet Cheeks
France,"There is no mistaking the purple chequered bottle of this wine. In its just off-dry character, it retains a light crispness, fresh apples and a soft, fruity feel. An attractive tang at the end makes it a good apéritif.",Nocturne Sec,82,Southern Italy,Calaveras County,Syrah-Viognier,Taittinger
US,"In this 2012 reserve, the fruit is sourced entirely from the Black Family estate vineyard. It's got medium concentration with cherry fruit the focus, enhanced with flavors of cola and truffle. Still quite young, the wine feels slightly disjointed; a second bottle was similar. Give this one additional bottle age.",Dundee Hills Reserve,45,Victoria,Napa Valley,Syrah-Cabernet Franc,The Four Graces
US,"This is a big, tough, tight and somewhat puzzling Pinot Noir. It's bone dry, moderate in alcohol and tart in acidity, with sour red cherry, cranberry, Dr. Pepper cola and new French oak flavors. It's hard and rude right now, although its inherent elegance shines through. The question is ageability. Give it until 2018 and see what it's doing.",Chileno Valley Vineyard,44,Central Italy,Maremma Toscana,Petit Verdot,Couloir
France,"A structured wine, it has the weight and the firm tannins to give it aging potential. Black cherries, dark fruits and juicy acidity are paired with the drier tannic structure, amking for a smooth and rich wine. Drink from 2016.",Clos Blanc Premier Cru,62,Oregon,Calaveras County,Grenache-Syrah,Domaine A. Machard de Gramont
France,"This is the third wine of classed growth Château Grand-Puy-Lacoste, a charming offspring of the more serious grand vin. It shows lively black fruits, touches of wood and balanced acidity. It's a wine to drink young and fruity, so open from 2016.",,,Languedoc-Roussillon,Trento,Chardonnay,Domaine de Saint-Guirons
Italy,"This opens with intense floral aromas that recall white roses, lemon zest and apricot. The linear, vibrant palate offers pink grapefruit, white peach and a flint note alongside crisp acidity that leaves a refreshing finish. Oliver McCrum, T. Edward Wines.",Rifall,21,Duriense,Côtes du Lot,Chardonnay,Erste Neue
US,"Another fine example of Bechthold's dry-farmed, old, gnarled-vine beauty in a glass, this wine is light in color and high-toned in cherry and rhubarb fruit. Buoyed by acidity, the finish offers just a light seasoning of pepper.",Bechthold Vineyard,24,New South Wales,Seneca Lake,Rosato,Estate Crush
US,"The vineyard is on Westside Road, in the warmer part of the valley. The wine is gentle, balanced and immediately likeable for its array of raspberries, cherries and cola. Heat from alcohol makes it a little ungainly, and may limit ageability. Drink through 2019.",Mercedes Riverblock,58,Beiras,Clare Valley-Eden Valley,Riesling,Gracianna
Portugal,"This is a well-balanced blend of Aragonez, Trincadeira and Syrah. With its straight line in black fruits, dark tannins and lively acidity, it shows a fine structure and a good future. Touches of leather, chocolate and the wood aging all add interest. Drink from 2017.",Pimenta Preta,12,Southern Italy,Okanagan Valley,Viognier,Herdade de São Miguel
US,"Good for Burgess for holding this Syrah back for a little while. It's beginning to soften, just barely. The tannins are still strong, but you can taste those bright blackberries and cherries starting to show meaty hints of wild grilled portobello mushrooms. It will drink well in late 2014 with hearty roasts and stews.",,30,Central Valley,Adelaide Hills,Champagne Blend,Burgess
Italy,"Aromas of freshly cut flowers, green apple, lime and white peach leap from the glass. The creamy texture is brightened by lively acidity. It's simple but well executed.",,15,Cachapoal Valley,Costa Toscana,Syrah,Cantina Produttori Cortaccia
Italy,"This full-bodied Pinot Grigio opens with aromas of tropical fruit, melon and stone fruit. The concentrated palate delvers yellow peach, mature pear and juicy pineapple alongside notes of aromatic herbs.",,22,Aconcagua Valley,Snipes Mountain,Chardonnay,Cantina Terlano
Italy,"A blend of Sangiovese and Malvasia, this wine conveys aromas of espresso, roasted coffee bean, black fruit and mint. The palate offers oak, vanilla, toast, coffee, black cherry, black pepper and grilled balsamic herbs. It's soft and already accessible. Drink now through 2019.",I Sodi di San Niccolò,70,Idaho,Priorat,Rhône-style Red Blend,Castellare di Castellina
France,"Boyd Cantenac's second wine is a soft and plump. It has ripe tannins and a generous texture, along with a gentle structure and good depth of flavor. The black fruits are already well integrated with the tannins to give a rich and juicy wine. Drink from 2016.",Jacques Boyd,,Southern Italy,Seneca Lake,Merlot,Château Boyd-Cantenac
